Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,None
11:25,,,69,,,,,
11:30,,,65,,,,,
11:35,,,64,,,,,
11:40,,,68,,,,,
11:45,,,64,,,,,
11:50,,,66,,,,,
11:55,,,64,,,,,
12:00,,,82,,,,,
12:05,,,82,,,,,
12:10,,,80,,,,,
12:15,,,79,,,,,
12:20,,,81,,,,,
12:25,,,81,,,,,
12:30,,,83,,,,,
12:35,,,81,,,,,
12:40,,,82,,,,,
12:45,,,79,,,,,
12:50,,,82,,,,,
12:55,,,84,,,,,
13:00,,,97,,,,,
13:05,,,87,,,,,
13:10,,,85,,,,,
13:15,,,88,,,,,
13:20,,,80,,,,,
13:25,,,77,,,,,
13:30,,,76,,,,,
13:35,,,65,,,,,
13:40,,,69,,,,,
13:45,,,69,,,,,
13:50,,,65,,,,,
13:55,,,60,,,,,
14:00,,,69,,,,,
14:05,,,59,,,,,
14:10,,,58,,,,,
14:15,,,58,,,,,
14:20,,,56,,,,,
14:25,,,56,,,,,
14:30,,,58,,,,,
14:35,,,58,,,,,
14:40,,,56,,,,,
14:45,,,55,,,,,
14:50,,,55,,,,,
14:55,,,55,,,,,
15:00,,,47,,,,,
15:05,,,43,,,,,
15:10,,,49,,,,,
15:15,,,42,,,,,
15:20,,,42,,,,,
15:25,,,52,,,,,
15:30,,,57,,,,,
15:35,,,61,,,,,
15:40,,,69,,,,,
15:45,,,68,,,,,
15:50,,,61,,,,,
15:55,,,60,,,,,
16:00,,,73,,,,,
16:05,,,72,,,,,
16:10,,,73,,,,,
16:15,,,72,,,,,
16:20,,,74,,,,,
16:25,,,73,,,,,
16:30,,,75,,,,,
16:35,,,85,,,,,
16:40,,,82,,,,,
16:45,,,83,,,,,
16:50,,,84,,,,,
16:55,,,86,,,,,
17:00,,,86,,,,,
17:05,,,86,,,,,
17:10,,,84,,,,,
17:15,,,82,,,,,
17:20,,,91,,,,,
17:25,,,91,,,,,
17:30,,,93,,,,,
17:35,,,84,,,,,
17:40,,,75,,,,,
17:45,,,73,,,,,
17:50,,,65,,,,,
17:55,,,61,,,,,
18:00,,,59,,,,,
18:05,,,56,,,,,
18:10,,,56,,,,,
18:15,,,48,,,,,
18:20,,,34,,,,,
18:25,,,27,,,,,
18:30,,,25,,,,,
18:35,,,27,,,,,
18:40,,,27,,,,,
18:45,,,28,,,,,
18:50,,,28,,,,,
18:55,,,23,,,,,
19:00,,,20,,,,,
19:05,,,17,,,,,
19:10,,,17,,,,,
19:15,,,15,,,,,
19:20,,,15,,,,,
19:25,,,19,,,,,
19:30,,,18,,,,,
19:35,,,10,,,,,
19:40,,,8,,,,,
19:45,,,7,,,,,
19:50,,,5,,,,,
19:55,,,2,,,,,
20:00,,,0,,,,,
20:05,,,0,,,,,
20:10,,,0,,,,,
20:15,,,0,,,,,
20:20,,,0,,,,,
20:25,,,0,,,,,
20:30,,,0,,,,,
20:35,,,0,,,,,
20:40,,,0,,,,,
20:45,,,0,,,,,
20:50,,,0,,,,,
20:55,,,0,,,,,
21:00,,,0,,,,,
21:05,,,0,,,,,
21:10,,,0,,,,,
21:15,,,0,,,,,
21:20,,,0,,,,,
21:25,,,0,,,,,
21:30,,,0,,,,,
21:35,,,0,,,,,
21:40,,,0,,,,,
21:45,,,0,,,,,
21:50,,,0,,,,,
21:55,,,0,,,,,
22:00,,,0,,,,,
22:05,,,0,,,,,
22:10,,,0,,,,,
22:15,,,0,,,,,
22:20,,,0,,,,,
22:25,,,0,,,,,
22:30,,,0,,,,,
22:35,,,0,,,,,
22:40,,,0,,,,,
22:45,,,0,,,,,
22:50,,,0,,,,,
22:55,,,0,,,,,
23:00,,,0,,,,,
23:05,,,0,,,,,
23:10,,,0,,,,,
23:15,,,0,,,,,
23:20,,,0,,,,,
23:25,,,0,,,,,
23:30,,,0,,,,,
23:35,,,0,,,,,
23:40,,,0,,,,,
23:45,,,0,,,,,
23:50,,,0,,,,,
23:55,,,0,,,,,
,,,,,,,,
,,,,,,,,
0:00,,,,0,,,,
0:05,,,,0,,,,
0:10,,,,0,,,,
0:15,,,,0,,,,
0:20,,,,0,,,,
0:25,,,,0,,,,
0:30,,,,0,,,,
0:35,,,,0,,,,
0:40,,,,0,,,,
0:45,,,,0,,,,
0:50,,,,0,,,,
0:55,,,,0,,,,
1:00,,,,0,,,,
1:05,,,,0,,,,
1:10,,,,0,,,,
1:15,,,,0,,,,
1:20,,,,0,,,,
1:25,,,,0,,,,
1:30,,,,0,,,,
1:35,,,,0,,,,
1:40,,,,0,,,,
1:45,,,,0,,,,
1:50,,,,0,,,,
1:55,,,,0,,,,
2:00,,,,0,,,,
2:05,,,,0,,,,
2:10,,,,0,,,,
